,Mkt-RF,SMB,HML,RMW,CMA,Rf
20140724,0.05,-0.31,0.02,-0.22,-0.05,2.50
20140725,-0.53,-0.4,0.18,-0.01,0.07,2.47
20140728,-0.08,-0.45,0.27,0.03,-0.03,2.57
20140729,-0.33,0.63,-0.68,-0.17,-0.12,2.58
20140730,0.12,0.35,-0.32,-0.68,-0.33,2.52
20140731,-2.03,-0.16,0.48,0.38,0.27,2.51
20140801,-0.32,-0.23,-0.05,0.09,0.16,2.49
20140804,0.74,0.03,-0.21,-0.1,-0.45,2.49
20140805,-0.84,0.72,-0.18,-0.16,0.02,2.43
20140806,0.02,0.4,0.19,-0.03,0.28,2.44
20140807,-0.52,-0.05,-0.15,0.05,-0.04,2.44
20140808,1.12,-0.16,-0.15,0.34,0.15,2.46
20140811,0.4,0.55,-0.27,-0.16,-0.26,2.43
20140812,-0.23,-0.56,0.24,0.06,0.01,2.40
20140813,0.69,-0.15,-0.23,-0.39,-0.16,2.34
20140814,0.44,-0.25,0.02,-0.21,0.05,2.39
20140815,0,-0.15,-0.14,0.18,-0.23,2.40
20140818,0.93,0.58,-0.17,0,0.04,2.43
20140819,0.49,-0.12,-0.07,0.24,-0.14,2.41
20140820,0.19,-0.65,0.28,0.02,0.27,2.40
20140821,0.28,-0.07,0.8,-0.1,0.22,2.39
20140822,-0.1,0.27,-0.36,-0.06,-0.15,2.39
20140825,0.5,-0.2,0.03,-0.02,-0.08,2.37
20140826,0.19,0.68,-0.33,-0.38,-0.18,2.34
20140827,0,-0.2,0.14,0.14,0.11,2.35
20140828,-0.19,-0.39,0.09,0.21,0,2.42
20140829,0.39,0.29,0.09,-0.31,-0.16,2.41
20140902,0.06,0.42,-0.09,-0.09,-0.2,2.45
20140903,-0.14,-0.5,0.24,0.04,0.39,2.46
20140904,-0.17,-0.15,-0.18,0.18,0.01,2.48
20140905,0.45,-0.28,-0.03,0.13,0.03,2.50
20140908,-0.22,0.48,-0.45,-0.39,-0.22,2.54
20140909,-0.72,-0.42,-0.01,0.29,0.13,2.54
20140910,0.45,0.16,-0.41,-0.29,-0.15,2.62
20140911,0.19,0.49,0.2,-0.24,-0.02,2.60
20140912,-0.55,-0.19,0.11,-0.06,0.14,2.60
20140915,-0.28,-0.93,0.65,0.46,0.64,2.62
20140916,0.7,-0.4,-0.1,0.15,-0.15,2.63
20140917,0.17,0.08,-0.22,-0.23,-0.15,2.59
20140918,0.5,0.02,0.01,-0.11,0,2.57
20140919,-0.18,-0.96,0.03,0.2,-0.06,2.54
20140922,-0.97,-0.54,0.09,0.45,0.17,2.57
20140923,-0.62,-0.32,-0.05,-0.02,-0.25,2.52
20140924,0.81,0.04,-0.93,0.08,-0.4,2.54
20140925,-1.62,0.13,0.12,0.32,0.24,2.50
20140926,0.85,-0.06,-0.24,0.09,-0.48,2.52
20140929,-0.22,0.18,-0.44,0.17,-0.27,2.42
20140930,-0.4,-1.01,0.11,0.03,0,2.44
20141001,-1.39,-0.14,0.3,0.2,-0.07,2.45
20141002,0.15,0.97,-0.38,-0.29,-0.31,2.43
20141003,1.08,-0.4,-0.44,-0.1,-0.09,2.36
20141006,-0.26,-0.77,0.37,0.32,0.13,2.35
20141007,-1.56,-0.14,0.13,0.25,0.03,2.34
20141008,1.7,-0.01,-0.06,-0.05,-0.05,2.31
20141009,-2.17,-0.48,-0.42,0.4,-0.1,2.21
20141010,-1.3,-0.07,0.5,0.74,0.35,2.15
20141013,-1.59,1.32,0.48,-0.31,0.18,2.17
20141014,0.28,0.85,-0.13,0.01,0.07,2.22
20141015,-0.54,1.66,-1.32,-0.49,-0.56,2.20
20141016,0.22,1.05,0.24,-0.44,0.14,2.23
20141017,1.14,-1.57,-0.09,-0.03,0.27,2.25
20141020,0.94,0.14,-0.32,0.1,-0.29,2.29
20141021,1.98,-0.41,0.06,0.07,-0.13,2.29
20141022,-0.85,-0.55,0.17,0.13,0.21,2.27
